Probabilidad;Importancia;Regla
1;0.015637432;Submotivo = Seguridad, Solicito FM = False -> Cumple = False
1;0.009287559;Submotivo = De unica responsabilidad del cliente, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.006457444;Submotivo = Contacto accidental con linea -> Cumple = False
1;0.015634411;Submotivo = Seguridad, Responsabilidad Interrupcion = Distribucion -> Cumple = False
1;0.013714677;Causa Interrupcion = Animales (Felinos y Roedores), Propiedad De La Inst Causante = Propia -> Cumple = False
1;0.008597104;Causa Interrupcion = Falla sistema interconectado, Responsabilidad Interrupcion = Generacion -> Cumple = False
1;0.013714677;Causa Interrupcion = Animales (Felinos y Roedores), Responsabilidad Interrupcion = Distribucion -> Cumple = False
1;0.01158269;Submotivo = Averia de transformadores, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.013714677;Causa Interrupcion = Animales (Felinos y Roedores), Responsable Interrupcion = Propia -> Cumple = False
1;0.013714677;Causa Interrupcion = Animales (Felinos y Roedores), Motivo = Falla -> Cumple = False
1;0.009375341;Causa Interrupcion = Animales (Felinos y Roedores), Tipo Med = Seccion de Linea o Alimentador -> Cumple = False
1;0.013714677;Causa Interrupcion = Animales (Felinos y Roedores), Naturaleza Interrupcion = No Programado, Falla -> Cumple = False
1;0.008809188;Submotivo = Aves, Solicito FM = False -> Cumple = False
1;0.006267294;Causa Interrupcion = Aves, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.007598253;Propiedad De La Inst Causante = Otras Empresas Electricas, Tipo Med = Alimentador Media Tension -> Cumple = False
1;0.006639976;Submotivo = Cambio de ferreteria y accesorios, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.013714677;Submotivo = Animales (Felinos y/o roedores), Responsabilidad Interrupcion = Distribucion -> Cumple = False
1;0.013714677;Submotivo = Animales (Felinos y/o roedores), Solicito FM = False -> Cumple = False
1;0.013714677;Submotivo = Animales (Felinos y/o roedores), Responsable Interrupcion = Propia -> Cumple = False
1;0.013714677;Submotivo = Animales (Felinos y/o roedores), Motivo = Falla -> Cumple = False
1;0.015395996;Naturaleza Interrupcion = Programado Mantenimiento, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.014158163;Causa Interrupcion = Otros, causados por terceros, Solicito FM = False -> Cumple = False
1;0.012190464;Causa Interrupcion = Otros, causados por terceros, Motivo = Falla -> Cumple = False
1;0.012585558;Motivo = Por maniobra sin aviso, corta, Tipo Med = Alimentador Media Tension -> Cumple = False
1;0.01520538;Motivo = Por maniobra sin aviso, corta, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.006267294;Submotivo = Cortocircuito, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.013064504;Causa Interrupcion = Otros, por falla en componentes del SP, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.011925224;Submotivo = De unica responsabilidad del cliente, Propiedad De La Inst Causante = Propia -> Cumple = False
1;0.011925224;Submotivo = De unica responsabilidad del cliente, Responsabilidad Interrupcion = Distribucion -> Cumple = False
1;0.012813495;Submotivo = Cortocircuito, Naturaleza Interrupcion = No Programado, Falla -> Cumple = False
1;0.013714677;Submotivo = Animales (Felinos y/o roedores), Naturaleza Interrupcion = No Programado, Falla -> Cumple = False
1;0.015194183;Submotivo = No identificado, Tipo Med = Seccion de Linea o Alimentador -> Cumple = False
1;0.012540664;Submotivo = Animales (Felinos y/o roedores), Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.009703648;Submotivo = Mantenimiento de Equipos de Maniobra y Proteccion, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.010512056;Submotivo = No identificado, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.013714677;Submotivo = Animales (Felinos y/o roedores), Causa Interrupcion = Animales (Felinos y Roedores) -> Cumple = False
1;0.009375341;Submotivo = Animales (Felinos y/o roedores), Tipo Med = Seccion de Linea o Alimentador -> Cumple = False
1;0.010512056;Causa Interrupcion = Bajo nivel de aislamiento (Aislado roto / Tension inadecuada), Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.015637432;Submotivo = Seguridad, Propiedad De La Inst Causante = Propia -> Cumple = False
1;0.007453045;Responsable Interrupcion = Otras Empresas Electricas, Tipo Med = Alimentador Media Tension -> Cumple = False
1;0.012323347;Submotivo = Otros, Solicito FM = False -> Cumple = False
1;0.008597104;Submotivo = Cortocircuito, Tipo Med = Seccion de Linea o Alimentador -> Cumple = False
1;0.011084272;Causa Interrupcion = Otros, causados por terceros, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.011925224;Submotivo = De unica responsabilidad del cliente, Solicito FM = False -> Cumple = False
1;0.015395996;Motivo = Mantenimiento preventivo, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.010453047;Submotivo = Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado), Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.011925224;Submotivo = De unica responsabilidad del cliente, Motivo = Falla -> Cumple = False
1;0.013714677;Submotivo = Animales (Felinos y/o roedores) -> Cumple = False
1;0.01234882;Causa Interrupcion = Corte de emergencia (No incluidos en PM y PE), Tipo Med = Alimentador Media Tension -> Cumple = False
1;0.015197924;Causa Interrupcion = Corte de emergencia (No incluidos en PM y PE), Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.015395996;Causa Interrupcion = Por mantenimiento, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.011925224;Submotivo = De unica responsabilidad del cliente, Naturaleza Interrupcion = No Programado, Accion De Terceros -> Cumple = False
0.999;0.015971534;Naturaleza Interrupcion = No Programado, Operacion -> Cumple = False
0.999;0.015971534;Naturaleza Interrupcion = No Programado, Operacion, Propiedad De La Inst Causante = Propia -> Cumple = False
0.999;0.01594771;Submotivo = No identificado -> Cumple = False
0.999;0.01594771;Submotivo = No identificado, Causa Interrupcion = Otros, por falla en componentes del SP -> Cumple = False
0.999;0.01594771;Submotivo = No identificado, Motivo = Falla -> Cumple = False
0.999;0.01594771;Submotivo = No identificado, Solicito FM = False -> Cumple = False
0.999;0.01594771;Submotivo = No identificado, Propiedad De La Inst Causante = Propia -> Cumple = False
0.999;0.01594771;Submotivo = No identificado, Responsable Interrupcion = Propia -> Cumple = False
0.999;0.01594771;Submotivo = No identificado, Naturaleza Interrupcion = No Programado, Falla -> Cumple = False
0.999;0.015944724;Naturaleza Interrupcion = No Programado, Operacion, Responsabilidad Interrupcion = Distribucion -> Cumple = False
0.999;0.015896691;Submotivo = No identificado, Responsabilidad Interrupcion = Distribucion -> Cumple = False
0.999;0.015786727;Naturaleza Interrupcion = No Programado, Operacion, Solicito FM = False -> Cumple = False
0.999;0.01577123;Motivo = Por maniobra sin aviso, corta, Responsable Interrupcion = Propia -> Cumple = False
0.999;0.01577123;Motivo = Por maniobra sin aviso, corta, Propiedad De La Inst Causante = Propia -> Cumple = False
0.999;0.01577123;Motivo = Por maniobra sin aviso, corta, Solicito FM = False -> Cumple = False
0.999;0.01577123;Motivo = Por maniobra sin aviso, corta -> Cumple = False
0.999;0.015752557;Naturaleza Interrupcion = No Programado, Operacion, Responsable Interrupcion = Propia -> Cumple = False
0.999;0.015746314;Motivo = Por maniobra sin aviso, corta, Responsabilidad Interrupcion = Distribucion -> Cumple = False
0.999;0.015705493;Causa Interrupcion = Corte de emergencia (No incluidos en PM y PE) -> Cumple = False
0.999;0.015705493;Causa Interrupcion = Corte de emergencia (No incluidos en PM y PE), Propiedad De La Inst Causante = Propia -> Cumple = False
0.999;0.015705493;Causa Interrupcion = Corte de emergencia (No incluidos en PM y PE), Responsable Interrupcion = Propia -> Cumple = False
0.999;0.015705493;Causa Interrupcion = Corte de emergencia (No incluidos en PM y PE), Naturaleza Interrupcion = No Programado, Operacion -> Cumple = False
0.999;0.015705493;Causa Interrupcion = Corte de emergencia (No incluidos en PM y PE), Solicito FM = False -> Cumple = False
0.999;0.015699175;Causa Interrupcion = Corte de emergencia (No incluidos en PM y PE), Motivo = Por maniobra sin aviso, corta -> Cumple = False
0.999;0.015699175;Motivo = Por maniobra sin aviso, corta, Naturaleza Interrupcion = No Programado, Operacion -> Cumple = False
0.999;0.015680159;Causa Interrupcion = Corte de emergencia (No incluidos en PM y PE), Responsabilidad Interrupcion = Distribucion -> Cumple = False
0.998;0.014848104;Causa Interrupcion = Otros, por falla en componentes del SP, Tipo Med = Seccion de Linea o Alimentador -> Cumple = False
0.997;0.015879614;Causa Interrupcion = Otros, por falla en componentes del SP, Naturaleza Interrupcion = No Programado, Falla -> Cumple = False
0.997;0.015879614;Causa Interrupcion = Otros, por falla en componentes del SP -> Cumple = False
0.997;0.015879614;Causa Interrupcion = Otros, por falla en componentes del SP, Propiedad De La Inst Causante = Propia -> Cumple = False
0.997;0.015879614;Causa Interrupcion = Otros, por falla en componentes del SP, Responsable Interrupcion = Propia -> Cumple = False
0.997;0.015879614;Causa Interrupcion = Otros, por falla en componentes del SP, Solicito FM = False -> Cumple = False
0.997;0.01580341;Causa Interrupcion = Otros, por falla en componentes del SP, Motivo = Falla -> Cumple = False
0.997;0.015793405;Causa Interrupcion = Otros, por falla en componentes del SP, Responsabilidad Interrupcion = Distribucion -> Cumple = False
0.997;0.014887304;Causa Interrupcion = Bajo nivel de aislamiento (Aislado roto / Tension inadecuada), Tipo Med = Seccion de Linea o Alimentador -> Cumple = False
0.997;0.014804893;Submotivo = Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado), Tipo Med = Seccion de Linea o Alimentador -> Cumple = False
0.997;0.013332429;Submotivo = No identificado, Tipo Med = Alimentador Media Tension -> Cumple = False
0.996;0.012633586;Naturaleza Interrupcion = No Programado, Operacion, Tipo Med = Seccion de Linea o Alimentador -> Cumple = False
0.996;0.015153742;Submotivo = Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado), Solicito FM = False -> Cumple = False
0.996;0.015153742;Submotivo = Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado), Causa Interrupcion = Bajo nivel de aislamiento (Aislado roto / Tension inadecuada) -> Cumple = False
0.996;0.015153742;Submotivo = Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado) -> Cumple = False
0.996;0.015153742;Submotivo = Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado), Naturaleza Interrupcion = No Programado, Falla -> Cumple = False
0.996;0.015153742;Submotivo = Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado), Motivo = Falla -> Cumple = False
0.996;0.015153742;Submotivo = Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado), Responsable Interrupcion = Propia -> Cumple = False
0.996;0.015153742;Submotivo = Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado), Propiedad De La Inst Causante = Propia -> Cumple = False
0.996;0.015130902;Submotivo = Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado), Responsabilidad Interrupcion = Distribucion -> Cumple = False
0.996;0.012062068;Submotivo = Sobrecarga, Responsable Interrupcion = Propia -> Cumple = False
0.996;0.012062068;Submotivo = Sobrecarga, Motivo = Falla -> Cumple = False
0.996;0.012062068;Submotivo = Sobrecarga, Naturaleza Interrupcion = No Programado, Falla -> Cumple = False
0.996;0.012062068;Submotivo = Sobrecarga, Propiedad De La Inst Causante = Propia -> Cumple = False
0.996;0.012062068;Submotivo = Sobrecarga, Solicito FM = False -> Cumple = False
0.996;0.012062068;Submotivo = Sobrecarga, Causa Interrupcion = Otros, por falla en componentes del SP -> Cumple = False
0.996;0.012062068;Submotivo = Sobrecarga -> Cumple = False
0.996;0.011976692;Motivo = Por maniobra sin aviso, corta, Tipo Med = Seccion de Linea o Alimentador -> Cumple = False
0.996;0.011959223;Submotivo = Averia en equipo de proteccion - Cut Out, Motivo = Falla -> Cumple = False
0.996;0.011959223;Submotivo = Averia en equipo de proteccion - Cut Out, Causa Interrupcion = Falla equipo (transformador,interruptor, seccionador de potencia etc) -> Cumple = False
0.996;0.011959223;Submotivo = Averia en equipo de proteccion - Cut Out, Responsabilidad Interrupcion = Distribucion -> Cumple = False
0.996;0.011959223;Submotivo = Averia en equipo de proteccion - Cut Out, Propiedad De La Inst Causante = Propia -> Cumple = False
0.996;0.011959223;Submotivo = Averia en equipo de proteccion - Cut Out, Naturaleza Interrupcion = No Programado, Falla -> Cumple = False
0.996;0.011959223;Submotivo = Averia en equipo de proteccion - Cut Out, Responsable Interrupcion = Propia -> Cumple = False
0.996;0.011959223;Submotivo = Averia en equipo de proteccion - Cut Out, Solicito FM = False -> Cumple = False
0.996;0.011959223;Submotivo = Averia en equipo de proteccion - Cut Out -> Cumple = False
0.996;0.011941618;Submotivo = Sobrecarga, Responsabilidad Interrupcion = Distribucion -> Cumple = False
0.996;0.01485428;Causa Interrupcion = Bajo nivel de aislamiento (Aislado roto / Tension inadecuada), Motivo = Falla -> Cumple = False
0.996;0.01485428;Causa Interrupcion = Bajo nivel de aislamiento (Aislado roto / Tension inadecuada), Responsable Interrupcion = Propia -> Cumple = False
0.996;0.01485428;Causa Interrupcion = Bajo nivel de aislamiento (Aislado roto / Tension inadecuada), Naturaleza Interrupcion = No Programado, Falla -> Cumple = False
0.996;0.01485428;Causa Interrupcion = Bajo nivel de aislamiento (Aislado roto / Tension inadecuada) -> Cumple = False
